region,Group,details
africa,Third Intermediate Period in Ancient Egypt,"['1100 BCE - 650 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Tijaniyya Tariqa الطريقة التيجانية,"['1781 CE - 2022 CE', 'Religious Group, Sufi, Maghreb Religions, Islamic Traditions, Mysticism, Sufi Order']"
africa,Wesleyanism,"['1738 CE - 2020 CE', 'Religious Group, Wesleyanism, Methodism']"
africa,جامع القرويين Mosquée Al-Qarawiyyin,"['859 CE - 2022 CE', 'Religious Group, Religious Place, North Africa, Arabian Religions, Morocco, Islamic Traditions']"
africa,"كتاب"" المقدّمة ""لابن خلدون livre Mou qaddîma d'Abd Al Rahman Ibn Khaldoun","['1332 CE - 1406 CE', ""Religious Group, Text, فقه, Islamic Theology, Rule Text, Religious History, Shari'a, Islamic Traditions, Fiqh""]"
africa,مقام أبو لبابة الأنصاري maqam Abou Loubaba Alansari,"['661 CE - 2023 CE', 'Religious Group, Religious Place, Tunisia, North Africa, Arabian Religions, Islamic Traditions']"
africa,Central African Iron Age,"['Secondary source: Single source', '400 BCE - 1450 CE', 'Religious Group, African Religions']"
africa,Central African Neolithic,"['Secondary source: Single source', '2950 BCE - 50 BCE', 'Religious Group, African Religions']"
africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
africa,Kimpa Vita,"['1704 CE - 2020 CE', 'Religious Group, African Religions']"
africa,Al-Ahbash الأحباش,"['1970 CE - 2022 CE', 'Religious Group, Islamic Traditions']"
africa,Amhara,"['Secondary source: Multiple References', 'Data source: eHRAF', '1930 CE - 1960 CE', 'Religious Group, Christian Traditions']"
africa,Azande,"['Secondary source: Multiple References', 'Data source: eHRAF', '1900 CE - 1935 CE', 'Religious Group, African Religions']"
africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
africa,East African Neolithic I,"['Secondary source: Single source', '3050 BCE - 750 CE', 'Religious Group, African Religions']"
africa,East African Neolithic II,"['Secondary source: Single source', '1050 BCE - 750 CE', 'Religious Group, African Religions']"
africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
africa,Ganda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1860 CE - 1900 CE', 'Religious Group, African Religions']"
africa,Kikuyu,"['Secondary source: Multiple References', 'Data source: eHRAF', '1895 CE - 1930 CE', 'Religious Group, African Religions']"
africa,Konso,"['Secondary source: Multiple References', 'Data source: eHRAF', '1920 CE - 1967 CE', 'Religious Group, African Religions']"
africa,Luguru,"['Secondary source: Multiple References', 'Data source: eHRAF', '1910 CE - 1935 CE', 'Religious Group, African Religions']"
africa,Masai,"['Data source: eHRAF', '1875 CE - 1915 CE', 'Religious Group, African Religions']"
africa,Nyakyusa,"['Secondary source: Single source', 'Data source: eHRAF', '1905 CE - 1940 CE', 'Religious Group, African Religions']"
africa,Polytheistic Pre-Islamic South Arabia,"['800 BCE - 360 CE', 'Religious Group, Arabian Religions']"
africa,Shilluk,"['Secondary source: Multiple References', 'Data source: eHRAF', '1895 CE - 1925 CE', 'Religious Group, African Religions']"
africa,Somali,"['Secondary source: Multiple References', 'Data source: eHRAF', '1900 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
africa,Sub Saharan Africa Pentecostalism,"['1907 CE - 2022 CE', 'Religious Group, African Religions']"
africa,Tanala,"['Secondary source: Multiple References', '1810 CE - 1998 CE', 'Religious Group, African Religions']"
africa,Teda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1935 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
africa,The Religious Society of Friends,"['1652 CE - 2020 CE', 'Religious Group, Christian Traditions, Liberal Religion, Post-Christian, American Christianity']"
africa,Tsonga,"['Secondary source: Multiple References', 'Data source: eHRAF', '1880 CE - 1910 CE', 'Religious Group, African Religions']"
africa,Turkana,"['1870 CE - 2017 CE', 'Religious Group, African Religions, Christian Traditions']"
africa,Unitarian Universalism,"['1825 CE - 2020 CE', 'Religious Group, Liberal Religion, Secularism, American Christianity, North American Religions, Protestantism']"
africa,Ancient Egyptian Religion in the Early 18th Dynasty,"['1550 BCE - 1425 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Acacus Mountains and Tassili n'Ajjer Neolithic,"['Secondary source: Single source', '6050 BCE - 1050 BCE', 'Religious Group, African Religions']"
africa,Air and Tenere Neolithic,"['Secondary source: Single source', '4050 BCE - 1050 BCE', 'Religious Group, African Religions']"
africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
africa,Kananga - Pentacostal,"['2013 CE - 2017 CE', 'Religious Group, African Religions, Christian Traditions']"
africa,Lolo,"['Secondary source: Multiple References', '1000 CE - 2000 CE', 'Religious Group, African Religions']"
africa,Teda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1935 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
africa,Achaemenid Religion,"['550 BCE - 330 BCE', 'Religious Group, Zoroastrianism, Mesopotamian Religions']"
africa,Amarna Religion,"['Expert source: Thomas Schneider', '1350 BCE - 1320 BCE', 'Religious Group, Egyptian Religions']"
africa,Ancient Egypt,"['2000 BCE - 30 BCE', 'Religious Group, Egyptian Religions']"
africa,Ancient Egyptian,"['3000 BCE - 300 CE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Ancient Egyptian Book of the Earth – Tomb of Ramesses VI,"['1145 BCE - 1139 BCE', 'Religious Group, Text, Ancient Egyptian Text, Egyptian Religions, African Religions, Cosmology']"
africa,Ancient Egyptian Religion in the Early 18th Dynasty,"['1550 BCE - 1425 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Ancient Egypt - Predynastic Period - Cultures of Lower Egypt,"['4000 BCE - 3400 BCE', 'Religious Group, African Religions, Prehistoric Religion, Egyptian Religions']"
africa,Ancient Egypt - The Temple of Mentuhotep II,"['2055 BCE - 2004 BCE', 'Religious Group, Religious Place, Temple, Tomb, Mortuary priesthood of Mentuhotep II, Egyptian Religions']"
africa,Ancient Egypt - The Tomb of Meryre II at Amarna (TA 2),"['1335 BCE - 1332 BCE', 'Religious Place, Religious Group, African Religions, Tomb, Egypt']"
africa,Ancient Egypt - Tomb of Amenmose TT318,"['1500 BCE - 1400 BCE', 'Religious Place, Religious Group, Egyptian Religions, Tomb']"
africa,(Archaeology of) Religion in New Kingdom Nubia,"['1550 BCE - 1070 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Circumcellions,"['315 CE - 500 CE', 'Religious Group, Monasticism, Ancient Mediterranean, Christian Traditions, African Religions']"
africa,Donatism,"['311 CE - 427 CE', 'Religious Group, Christian Traditions']"
africa,Donatism,"['311 CE - 600 CE', 'Religious Group, Augustine, Early Christianity, Heresy, Ancient Mediterranean']"
africa,Egyptian Salafism (inluding North Africa and West Asia),"['1870 CE - 2015 CE', 'Religious Group, Islamic Traditions']"
africa,Fellahin,"['Secondary source: Multiple References', 'Data source: eHRAF', '1925 CE - 1960 CE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
africa,Fur,"['Secondary source: Multiple References', 'Data source: eHRAF', '1870 CE - 1895 CE', 'Religious Group, African Religions, Islamic Traditions, Syncretic Religions']"
africa,Hymns to the Aten,"['1352 BCE - 1336 BCE', 'Religious Group, Text, Canonical texts, Egyptian Religions, Mortuary text, African Religions']"
africa,Imrā’atu-nā fī l-šarīʻa wa-l-muŷtamaʻ / امرأتنا في الشريعة والمجتمع,"['1927 CE - 1930 CE', 'Religious Group, Text, Islamic Traditions, Sacred Law, Maghreb Religions']"
africa,Inhabitants of Medieval Kurgus,"['550 CE - 1500 CE', 'Religious Group, Christian Traditions']"
africa,Karnak Temple (New Kingdom),"['1550 BCE - 1086 BCE', 'Religious Place, Religious Group, Temple, Egyptian Religions, African Religions']"
africa,Khartoum Neolithic,"['Secondary source: Single source', '3750 BCE - 1600 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,La Mosquée de Yousif Sahib at-Tabi' جامع يوسف صاحب الطابع,"['1808 CE - 2022 CE', 'Religious Group, Religious Place, Tunisia, North Africa, Mosque, Islamic Traditions']"
africa,Le Parti du Mouvement de La Nahda حزب حركة النهضة,"['1981 CE - 2023 CE', 'Religious Group, Reform Movement, Islamic Traditions, militant group']"
africa,L’esprit libéral du Coran,"['1905 CE - 1956 CE', 'Religious Group, Text, Islamic Theology, Islamic Traditions']"
africa,Lion Temple (Apedemak Temple) at Musawwarat es-Sufra,"['235 BCE - 300 CE', 'Religious Place, Religious Group, Temple, Meroitic religion, Archaeological monument, Monument']"
africa,Maqam Sidi bil Hasan ash-Shadhili,"['1815 CE - 2023 CE', 'Religious Group, Religious Place, Sacred mountain, Sacred Territory, Sufi, Tunisia, Tomb, North Africa, Islamic Traditions, Mysticism, Sufi Order']"
africa,North African Proto-Historic,"['Secondary source: Single source', '2050 BCE - 1050 BCE', 'Religious Group, African Religions']"
africa,Old Kingdom Religion at Abydos,"['2750 BCE - 2150 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Otoro Nuba,"['Secondary source: Multiple References', 'Data source: eHRAF', '1910 CE - 1945 CE', 'Religious Group, African Religions']"
africa,Pachomian Monasticism,"['323 CE - 548 CE', 'Religious Group, Early Christianity']"
africa,Pre-Dynastic Lower Egypt,"['Secondary source: Single source', '5050 BCE - 3050 BCE', 'Religious Group, Egyptian Religions']"
africa,Ptolemaic Egypt - Egyptian Religion,"['304 BCE - 30 BCE', 'Religious Group, African Religions']"
africa,"Quarrying Cult at Simitthus (Chemtou, Tunisia)","['150 BCE - 299 CE', 'Religious Group, Religious Place, Animist, Ancient Mediterranean, Roman Religious Traditions, Industrial Site (religiously affected), North Africa, Nature Sanctuaries']"
africa,Religion in Greco-Roman Egypt,"['305 BCE - 284 CE', 'Religious Group, Egyptian Religions, Hellenistic Religions, Greek Cult, Greek Religions']"
africa,Riffians,"['Data source: eHRAF', '1900 CE - 1930 CE', 'Religious Group, Islamic Traditions']"
africa,Sethian Gnostic,"['100 CE - 400 CE', 'Religious Group, Christian Traditions, Roman Religions, Heresy, Abrahamic']"
africa,Tafattuq al-aḥkām,"['1890 CE - 1956 CE', 'Religious Group, Text, Islamic Theology, Islamic Traditions']"
africa,Tariqa Shadhiliyya,"['1258 CE - 2020 CE', 'Religious Group, Islamic Traditions, Sufi']"
africa,Teda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1935 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
africa,Temple of Hatshepsut at Deir el-Bahri,"['1473 BCE - 348 CE', 'Religious Group, Religious Place, Temenos, Temple, Egyptian Religions, Archaeological monument, Religious Complex']"
africa,The Abydos Temple of Khentiamentiu,"['2750 BCE - 2150 BCE', 'Religious Place, Religious Group, Temple, Egyptian Religions, Religious Complex']"
africa,The Great Temple at Abu Simbel,"['1279 BCE - 1968 CE', 'Religious Place, Religious Group, Temple, Egyptian Religions']"
africa,The Royal Cache - Theban Tomb 320,"['1069 BCE - 945 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,The Small Temple at Abu Simbel,"['1279 BCE - 1968 CE', 'Religious Place, Religious Group, Egypt, Egyptian Religions']"
africa,The Temple Complex at Jebel Barkal,"['Expert source: Timothy Kendall', '1500 BCE - 300 CE', 'Religious Place, Religious Group, Temple, Egyptian Religions, African Religions']"
africa,The Temple of Millions of Years of Thutmose III,"['Expert source: Myriam Seco', '1470 BCE - 1213 BCE', 'Religious Place, Religious Group, Temple, Egyptian Religions, African Religions, Egypt']"
africa,The Tomb of Khnumhotep I at Beni Hassan,"['1992 BCE - 1956 BCE', 'Religious Group, Religious Place, African Religions, Tomb, Egyptian Religions']"
africa,Theurgy,"['150 CE - 529 CE', 'Religious Group, Hellenistic Religions, Syncretic Religions, Roman Religious Traditions, Rome, Greek Religions']"
africa,Tomb of Nefermaat and Itet (Meidum 16),"['2613 BCE - 2589 BCE', 'Religious Place, Religious Group, Egyptian Religions, African Religions, Tomb']"
africa,Tomb of Tutankhamun (KV 62),"['1334 BCE - 1325 BCE', 'Religious Place, Religious Group, Tomb, Egyptian Religions']"
africa,Tunisian Women's Associations,"['1936 CE - 1962 CE', 'Religious Group, Islamic Traditions']"
africa,Upper Egypt: Alexander and the Ptolemies,"['Expert source: Rachel Lindsey', '332 BCE - 30 BCE', 'Religious Group, Egyptian Religions, Greek Religions']"
africa,Upper Egypt: Archaic/Early Dynastic Period,"['3150 BCE - 2686 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: First Intermediate Period,"['2181 BCE - 2055 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: Late Period,"['664 BCE - 332 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: Middle Kingdom,"['2055 BCE - 1650 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: New Kingdom,"['1550 BCE - 1069 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: Old Kingdom,"['2686 BCE - 2181 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: Roman Egypt,"['30 BCE - 390 CE', 'Religious Group, Christian Traditions, Egyptian Religions, Hellenistic Religions, Greek Religions, Roman Religious Traditions, Jewish Traditions']"
africa,Upper Egypt: Second Intermediate Period,"['1650 BCE - 1550 BCE', 'Religious Group, Egyptian Religions']"
africa,Upper Egypt: Third Intermediate Period,"['1069 BCE - 664 BCE', 'Religious Group, Egyptian Religions']"
africa,Zaouia Sidi Abi Sa'id al-Baji زاوية أبي سعيد الباجي,"['1156 CE - 2022 CE', 'Religious Group, Religious Place, Sufi, Tunisia, North Africa, Islamic Traditions, Mysticism, Sufi Order']"
africa,Zaytuna Magazine/ المجلة الزيتونية,"['1936 CE - 1955 CE', ""Religious Group, Text, Scripture, African Religion, Hadith, Shari'a, Islamic Traditions, Sacred Law""]"
africa,جامع عقبة بن نافع La Mosquée de 'oqba ibn Nafi',"['670 CE - 2022 CE', 'Religious Group, Religious Place, Tunisia, North Africa, Arabian Religions, Islamic Traditions']"
africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
africa,!Kung,"['Secondary source: Multiple References', 'Data source: eHRAF', '1925 CE - 1960 CE', 'Religious Group, African Religions']"
africa,Nama Hottentot,"['Secondary source: Multiple References', 'Data source: eHRAF', '1855 CE - 1900 CE', 'Religious Group, African Religions']"
africa,Sub Saharan Africa Pentecostalism,"['1907 CE - 2022 CE', 'Religious Group, African Religions']"
africa,Tsonga,"['Secondary source: Multiple References', 'Data source: eHRAF', '1880 CE - 1910 CE', 'Religious Group, African Religions']"
africa,Unitarian Universalism,"['1825 CE - 2020 CE', 'Religious Group, Liberal Religion, Secularism, American Christianity, North American Religions, Protestantism']"
africa,Wilton,"['Secondary source: Single source', '8050 BCE - 50 BCE', 'Religious Group, African Religions']"
africa,Al-manhaj al-farîd fî ma'rifat 'ilm al-tawhîd.,"['1650 CE - 1850 CE', 'Religious Group, Text, Creed, Islamic Traditions']"
africa,Ashanti,"['Secondary source: Multiple References', 'Data source: eHRAF', '1880 CE - 1910 CE', 'Religious Group, African Religions']"
africa,Bambara,"['Secondary source: Multiple References', 'Data source: eHRAF', '1890 CE - 1923 CE', 'Religious Group, Islamic Traditions, Syncretic Religions, African Religions']"
africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
africa,Igbo,"['Secondary source: Multiple References', 'Data source: eHRAF', '1910 CE - 1940 CE', 'Religious Group, African Religions, Syncretic Religions']"
africa,Mende,"['Secondary source: Multiple References', 'Data source: eHRAF', '1920 CE - 1950 CE', 'Religious Group, African Religion']"
africa,Mourides (Muridiyya),"['1853 CE - 2022 CE', 'Religious Group, African Religion, Sufi']"
africa,Muridiyya of Senegal,"['1853 CE - 2022 CE', 'Religious Group, Sufi']"
africa,Sokoto,"['1804 CE - 1903 CE', 'Religious Group, Millenarianism, Reform Movement, Sufi, Abrahamic, Apocalyptic Movements, Islamic Traditions, militant group, Mysticism']"
africa,Sub Saharan Africa Pentecostalism,"['1907 CE - 2022 CE', 'Religious Group, African Religions']"
africa,Tallensi,"['Secondary source: Multiple References', 'Data source: eHRAF', '1915 CE - 1940 CE', 'Religious Group, African Religions']"
africa,Wolof,"['Data source: eHRAF', '1925 CE - 1955 CE', 'Religious Group, Islamic Traditions']"
central-africa,Central African Iron Age,"['Secondary source: Single source', '400 BCE - 1450 CE', 'Religious Group, African Religions']"
central-africa,Central African Neolithic,"['Secondary source: Single source', '2950 BCE - 50 BCE', 'Religious Group, African Religions']"
central-africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
central-africa,Kimpa Vita,"['1704 CE - 2020 CE', 'Religious Group, African Religions']"
eastern-africa,Al-Ahbash الأحباش,"['1970 CE - 2022 CE', 'Religious Group, Islamic Traditions']"
eastern-africa,Amhara,"['Secondary source: Multiple References', 'Data source: eHRAF', '1930 CE - 1960 CE', 'Religious Group, Christian Traditions']"
eastern-africa,Azande,"['Secondary source: Multiple References', 'Data source: eHRAF', '1900 CE - 1935 CE', 'Religious Group, African Religions']"
eastern-africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
eastern-africa,East African Neolithic I,"['Secondary source: Single source', '3050 BCE - 750 CE', 'Religious Group, African Religions']"
eastern-africa,East African Neolithic II,"['Secondary source: Single source', '1050 BCE - 750 CE', 'Religious Group, African Religions']"
eastern-africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
eastern-africa,Ganda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1860 CE - 1900 CE', 'Religious Group, African Religions']"
eastern-africa,Kikuyu,"['Secondary source: Multiple References', 'Data source: eHRAF', '1895 CE - 1930 CE', 'Religious Group, African Religions']"
eastern-africa,Konso,"['Secondary source: Multiple References', 'Data source: eHRAF', '1920 CE - 1967 CE', 'Religious Group, African Religions']"
eastern-africa,Luguru,"['Secondary source: Multiple References', 'Data source: eHRAF', '1910 CE - 1935 CE', 'Religious Group, African Religions']"
eastern-africa,Masai,"['Data source: eHRAF', '1875 CE - 1915 CE', 'Religious Group, African Religions']"
eastern-africa,Nyakyusa,"['Secondary source: Single source', 'Data source: eHRAF', '1905 CE - 1940 CE', 'Religious Group, African Religions']"
eastern-africa,Polytheistic Pre-Islamic South Arabia,"['800 BCE - 360 CE', 'Religious Group, Arabian Religions']"
eastern-africa,Shilluk,"['Secondary source: Multiple References', 'Data source: eHRAF', '1895 CE - 1925 CE', 'Religious Group, African Religions']"
eastern-africa,Somali,"['Secondary source: Multiple References', 'Data source: eHRAF', '1900 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
eastern-africa,Sub Saharan Africa Pentecostalism,"['1907 CE - 2022 CE', 'Religious Group, African Religions']"
eastern-africa,Tanala,"['Secondary source: Multiple References', '1810 CE - 1998 CE', 'Religious Group, African Religions']"
eastern-africa,Teda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1935 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
eastern-africa,The Religious Society of Friends,"['1652 CE - 2020 CE', 'Religious Group, Christian Traditions, Liberal Religion, Post-Christian, American Christianity']"
eastern-africa,Tsonga,"['Secondary source: Multiple References', 'Data source: eHRAF', '1880 CE - 1910 CE', 'Religious Group, African Religions']"
eastern-africa,Turkana,"['1870 CE - 2017 CE', 'Religious Group, African Religions, Christian Traditions']"
eastern-africa,Unitarian Universalism,"['1825 CE - 2020 CE', 'Religious Group, Liberal Religion, Secularism, American Christianity, North American Religions, Protestantism']"
egypt,Ancient Egyptian Religion in the Early 18th Dynasty,"['1550 BCE - 1425 BCE', 'Religious Group, African Religions, Egyptian Religions']"
middle-africa,Acacus Mountains and Tassili n'Ajjer Neolithic,"['Secondary source: Single source', '6050 BCE - 1050 BCE', 'Religious Group, African Religions']"
middle-africa,Air and Tenere Neolithic,"['Secondary source: Single source', '4050 BCE - 1050 BCE', 'Religious Group, African Religions']"
middle-africa,Contemporary West African Vodun,"['1960 BCE - 2022 CE', 'Religious Group, African Religions, Animist']"
middle-africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
middle-africa,Kananga - Pentacostal,"['2013 CE - 2017 CE', 'Religious Group, African Religions, Christian Traditions']"
middle-africa,Lolo,"['Secondary source: Multiple References', '1000 CE - 2000 CE', 'Religious Group, African Religions']"
middle-africa,Teda,"['Secondary source: Multiple References', 'Data source: eHRAF', '1935 CE - 1960 CE', 'Religious Group, Islamic Traditions']"
northern-africa,Achaemenid Religion,"['550 BCE - 330 BCE', 'Religious Group, Zoroastrianism, Mesopotamian Religions']"
northern-africa,Amarna Religion,"['Expert source: Thomas Schneider', '1350 BCE - 1320 BCE', 'Religious Group, Egyptian Religions']"
northern-africa,Ancient Egypt,"['2000 BCE - 30 BCE', 'Religious Group, Egyptian Religions']"
northern-africa,Ancient Egyptian,"['3000 BCE - 300 CE', 'Religious Group, African Religions, Egyptian Religions']"
northern-africa,Ancient Egyptian Book of the Earth – Tomb of Ramesses VI,"['1145 BCE - 1139 BCE', 'Religious Group, Text, Ancient Egyptian Text, Egyptian Religions, African Religions, Cosmology']"
northern-africa,Ancient Egyptian Religion in the Early 18th Dynasty,"['1550 BCE - 1425 BCE', 'Religious Group, African Religions, Egyptian Religions']"
northern-africa,Ancient Egypt - Predynastic Period - Cultures of Lower Egypt,"['4000 BCE - 3400 BCE', 'Religious Group, African Religions, Prehistoric Religion, Egyptian Religions']"
northern-africa,Ancient Egypt - The Temple of Mentuhotep II,"['2055 BCE - 2004 BCE', 'Religious Group, Religious Place, Temple, Tomb, Mortuary priesthood of Mentuhotep II, Egyptian Religions']"
northern-africa,Ancient Egypt - The Tomb of Meryre II at Amarna (TA 2),"['1335 BCE - 1332 BCE', 'Religious Place, Religious Group, African Religions, Tomb, Egypt']"
northern-africa,Ancient Egypt - Tomb of Amenmose TT318,"['1500 BCE - 1400 BCE', 'Religious Place, Religious Group, Egyptian Religions, Tomb']"
northern-africa,(Archaeology of) Religion in New Kingdom Nubia,"['1550 BCE - 1070 BCE', 'Religious Group, African Religions, Egyptian Religions']"
northern-africa,Circumcellions,"['315 CE - 500 CE', 'Religious Group, Monasticism, Ancient Mediterranean, Christian Traditions, African Religions']"
northern-africa,Donatism,"['311 CE - 427 CE', 'Religious Group, Christian Traditions']"
northern-africa,Donatism,"['311 CE - 600 CE', 'Religious Group, Augustine, Early Christianity, Heresy, Ancient Mediterranean']"
northern-africa,Egyptian Salafism (inluding North Africa and West Asia),"['1870 CE - 2015 CE', 'Religious Group, Islamic Traditions']"
northern-africa,Fellahin,"['Secondary source: Multiple References', 'Data source: eHRAF', '1925 CE - 1960 CE', 'Religious Group, African Religions, Egyptian Religions']"
northern-africa,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
northern-africa,Fur,"['Secondary source: Multiple References', 'Data source: eHRAF', '1870 CE - 1895 CE', 'Religious Group, African Religions, Islamic Traditions, Syncretic Religions']"
northern-africa,Hymns to the Aten,"['1352 BCE - 1336 BCE', 'Religious Group, Text, Canonical texts, Egyptian Religions, Mortuary text, African Religions']"
northern-africa,Imrā’atu-nā fī l-šarīʻa wa-l-muŷtamaʻ / امرأتنا في الشريعة والمجتمع,"['1927 CE - 1930 CE', 'Religious Group, Text, Islamic Traditions, Sacred Law, Maghreb Religions']"
northern-africa,Inhabitants of Medieval Kurgus,"['550 CE - 1500 CE', 'Religious Group, Christian Traditions']"
northern-africa,Karnak Temple (New Kingdom),"['1550 BCE - 1086 BCE', 'Religious Place, Religious Group, Temple, Egyptian Religions, African Religions']"
